session_id,model,true_genre,text_recovery_success,state_recovery_success,rec_consistency,recovery_turns,clarity,politeness,recovery
gemma:2b_session_1,gemma:2b,romance,True,False,True,0,,,
gemma:2b_session_2,gemma:2b,horror,True,False,True,1,,,
gemma:2b_session_3,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_4,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_5,gemma:2b,horror,True,False,True,1,,,
gemma:2b_session_6,gemma:2b,romance,True,False,True,1,,,
gemma:2b_session_7,gemma:2b,romance,True,False,True,0,,,
gemma:2b_session_8,gemma:2b,romance,True,False,True,1,,,
gemma:2b_session_9,gemma:2b,romance,True,False,True,1,,,
gemma:2b_session_10,gemma:2b,horror,True,False,True,1,,,
gemma:2b_session_11,gemma:2b,romance,True,False,True,1,,,
gemma:2b_session_12,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_13,gemma:2b,romance,True,False,True,1,,,
gemma:2b_session_14,gemma:2b,romance,True,False,True,1,,,
gemma:2b_session_15,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_16,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_17,gemma:2b,romance,True,False,True,0,,,
gemma:2b_session_18,gemma:2b,romance,True,False,True,1,,,
gemma:2b_session_19,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_20,gemma:2b,horror,True,False,True,1,,,
gemma:2b_session_21,gemma:2b,romance,True,False,True,1,,,
gemma:2b_session_22,gemma:2b,horror,True,False,True,0,,,
gemma:2b_session_23,gemma:2b,romance,True,False,True,0,,,
gemma:2b_session_24,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_25,gemma:2b,horror,True,False,True,0,,,
gemma:2b_session_26,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_27,gemma:2b,romance,True,False,True,2,,,
gemma:2b_session_28,gemma:2b,horror,True,False,True,0,,,
gemma:2b_session_29,gemma:2b,romance,True,False,True,2,,,
gemma:2b_session_30,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_31,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_32,gemma:2b,sci-fi,True,False,True,2,,,
gemma:2b_session_33,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_34,gemma:2b,sci-fi,True,False,True,0,,,
gemma:2b_session_35,gemma:2b,sci-fi,True,False,True,2,,,
gemma:2b_session_36,gemma:2b,romance,True,False,True,1,,,
gemma:2b_session_37,gemma:2b,horror,True,False,True,1,,,
gemma:2b_session_38,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_39,gemma:2b,romance,True,False,True,0,,,
gemma:2b_session_40,gemma:2b,romance,True,False,True,1,,,
gemma:2b_session_41,gemma:2b,romance,True,False,True,1,,,
gemma:2b_session_42,gemma:2b,sci-fi,True,False,True,0,,,
gemma:2b_session_43,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_44,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_45,gemma:2b,romance,True,False,True,1,,,
gemma:2b_session_46,gemma:2b,sci-fi,True,False,True,1,,,
gemma:2b_session_47,gemma:2b,horror,True,False,True,0,,,
gemma:2b_session_48,gemma:2b,horror,True,False,True,0,,,
gemma:2b_session_49,gemma:2b,horror,True,False,True,1,,,
gemma:2b_session_50,gemma:2b,horror,True,False,True,1,,,
gemma:2b_session_51,gemma:2b,sci-fi,True,False,True,2,,,
gemma:2b_session_52,gemma:2b,sci-fi,True,False,True,0,,,
gemma:2b_session_53,gemma:2b,romance,True,False,True,1,,,
gemma:2b_session_54,gemma:2b,sci-fi,True,False,True,2,,,
gemma:2b_session_55,gemma:2b,romance,True,False,True,1,,,
