model,proactiveness,coherence,personalization
mistral:7b,4.0,4.0,3.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,4.0,3.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,4.0,4.0
mistral:7b,4.0,4.0,3.0
mistral:7b,4.0,4.0,5.0
mistral:7b,4.0,4.0,3.0
mistral:7b,4.0,4.0,4.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,4.0,5.0
mistral:7b,4.0,4.0,3.0
mistral:7b,4.0,3.0,4.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,4.0,5.0
mistral:7b,4.0,4.0,5.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,5.0,4.0
mistral:7b,,,
mistral:7b,4.0,3.0,4.0
mistral:7b,,,
mistral:7b,4.0,4.0,5.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,5.0,3.0
mistral:7b,4.0,4.0,5.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,4.0,5.0
mistral:7b,3.0,4.0,2.0
mistral:7b,4.0,4.0,5.0
mistral:7b,4.0,4.0,4.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,3.0,4.0
mistral:7b,4.0,4.0,3.0
mistral:7b,4.0,4.0,5.0
mistral:7b,4.0,4.0,5.0
mistral:7b,4.0,4.0,5.0
mistral:7b,4.0,4.0,3.0
mistral:7b,4.0,3.0,4.0
mistral:7b,4.0,4.0,5.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,4.0,5.0
mistral:7b,4.0,5.0,5.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,5.0,4.0
mistral:7b,4.0,4.0,5.0
mistral:7b,3.0,4.0,2.0
mistral:7b,4.0,4.0,5.0
mistral:7b,4.0,4.0,5.0
mistral:7b,,,
