model,proactiveness,coherence,personalization
gemma:2b,4.0,5.0,4.0
gemma:2b,4.0,3.0,4.0
gemma:2b,4.0,3.0,3.0
gemma:2b,4.0,4.0,5.0
gemma:2b,4.0,4.0,5.0
gemma:2b,4.0,4.0,5.0
gemma:2b,4.0,3.0,4.0
gemma:2b,4.0,5.0,4.0
gemma:2b,4.0,3.0,4.0
gemma:2b,3.0,4.0,3.0
gemma:2b,4.0,3.0,4.0
gemma:2b,4.0,3.0,3.0
gemma:2b,4.0,3.0,4.0
gemma:2b,4.0,4.0,5.0
gemma:2b,4.0,4.0,3.0
gemma:2b,4.0,4.0,3.0
gemma:2b,4.0,4.0,5.0
gemma:2b,4.0,5.0,4.0
gemma:2b,4.0,3.0,4.0
gemma:2b,4.0,4.0,5.0
gemma:2b,4.0,3.0,3.0
gemma:2b,3.0,4.0,4.0
gemma:2b,4.0,4.0,3.0
gemma:2b,4.0,3.0,4.0
gemma:2b,3.0,4.0,2.0
gemma:2b,4.0,3.0,4.0
gemma:2b,4.0,3.0,4.0
gemma:2b,4.0,3.0,2.0
gemma:2b,4.0,5.0,4.0
gemma:2b,4.0,3.0,4.0
gemma:2b,4.0,3.0,4.0
gemma:2b,3.0,4.0,2.0
gemma:2b,4.0,4.0,5.0
gemma:2b,4.0,3.0,2.0
gemma:2b,4.0,4.0,3.0
gemma:2b,4.0,4.0,5.0
gemma:2b,4.0,3.0,4.0
gemma:2b,4.0,4.0,5.0
gemma:2b,4.0,4.0,3.0
gemma:2b,4.0,3.0,4.0
gemma:2b,4.0,4.0,5.0
gemma:2b,4.0,4.0,3.0
gemma:2b,4.0,4.0,4.0
gemma:2b,4.0,4.0,3.0
gemma:2b,,,
gemma:2b,4.0,4.0,3.0
gemma:2b,4.0,4.0,3.0
gemma:2b,4.0,4.0,5.0
gemma:2b,4.0,4.0,3.0
gemma:2b,4.0,3.0,2.0
